real_trip_id,actual_total_sec,pred_total_sec,n_segments,abs_error_sec
DO-DUMMY-00267814_0,5699.4349999999995,5084.6113,30,614.8236718749995
DO-DUMMY-00267827_0,5290.663,3849.8088,20,1440.8541621093746
DO-DUMMY-00267867_0,3867.4979999999996,3511.2876,19,356.2104023437496
DO-DUMMY-00267896_0,3376.375,3349.956,19,26.4189453125
DO-DUMMY-00267909_0,2910.326,3240.0566,14,329.730640625
DO-DUMMY-00267952_0,4190.108,3791.9712,18,398.1368085937502
DO-DUMMY-00267954_0,3031.59,2948.543,21,83.04703125000015
DO-DUMMY-00268014_0,2213.862,2196.9011,18,16.96087695312508
DO-DUMMY-00268017_0,4203.724,3593.4067,21,610.3172617187502
DO-DUMMY-00268040_0,4098.846,3615.0593,17,483.78667382812455
DO-DUMMY-00268049_0,3291.684,3371.625,19,79.9409999999998
DO-DUMMY-00268080_0,3293.359,3118.633,18,174.72594335937492
DO-DUMMY-00268083_0,7811.676,10745.893,19,2934.2165781249996
DO-DUMMY-00268101_0,5125.245,5428.129,31,302.8839062500001
DO-DUMMY-00268135_0,4581.457,4833.126,19,251.66897656249967
DO-DUMMY-00268203_0,22976.257999999998,21154.607,16,1821.650578124998
DO-DUMMY-00268229_0,2266.753,6077.564,16,3810.81096484375
DO-DUMMY-00268273_0,3630.9390000000003,3579.3867,23,51.552281250000306
DO-DUMMY-00268280_0,3959.7309999999998,4103.849,20,144.11812109375023
DO-DUMMY-00268300_0,4440.823,3956.5234,20,484.2995625000003
DO-DUMMY-00268336_0,3341.089,3405.685,19,64.59605859375006
DO-DUMMY-00268342_0,2802.325,3742.8567,17,940.5316894531252
DO-DUMMY-00268375_0,3367.033,3708.7566,18,341.7235917968751
DO-DUMMY-00268380_0,4935.73,5292.9526,31,357.22263671875044
DO-DUMMY-00268397_0,2559.587,3056.033,19,496.445958984375
DO-DUMMY-00268416_0,4965.264,5052.645,30,87.38101953124988
DO-DUMMY-00268422_0,3719.627,4050.454,20,330.82710156250005
DO-DUMMY-00268445_0,4025.51,3759.0535,17,266.4565332031252
DO-DUMMY-00268469_0,29389.223,28907.406,1,481.8167500000018
DO-DUMMY-00268521_0,4279.191,4416.319,18,137.1278476562502
DO-DUMMY-00268550_0,4122.076,3939.4873,20,182.58869531250002
DO-DUMMY-00268579_0,3744.7309999999998,5108.61,24,1363.8788632812502
DO-DUMMY-00268616_0,6420.979,3535.632,18,2885.3469199218753
DO-DUMMY-00268623_0,5012.714,3524.226,19,1488.48792578125
DO-DUMMY-00268624_0,3971.966,3823.6987,19,148.2672695312499
DO-DUMMY-00268629_0,2546.56,3050.409,18,503.84893554687505
DO-DUMMY-00268689_0,3110.84,3682.8967,19,572.0567285156249
DO-DUMMY-00268724_0,36172.214,17235.053,30,18937.161265625
DO-DUMMY-00268729_0,4704.784,4607.988,24,96.79620703124965
DO-DUMMY-00268752_0,5633.1939999999995,10457.364,33,4824.1702578125005
DO-DUMMY-00268752_1,580.379,589.82526,2,9.446256347656231
DO-DUMMY-00268773_0,2055.984,2241.357,18,185.37293359375008
DO-DUMMY-00268779_0,3314.381,2826.371,14,488.00990624999986
DO-DUMMY-00268820_0,38952.815,18800.88,21,20151.934140625002
DO-DUMMY-00268862_0,2851.772,2898.8296,18,47.057589843750065
DO-DUMMY-00268875_0,5193.442,4795.766,20,397.67588671875
DO-DUMMY-00268884_0,3700.083,4362.206,20,662.1230546874999
DO-DUMMY-00268885_0,2495.124,2512.969,19,17.844994140625204
DO-DUMMY-00268899_0,1839.0729999999999,3523.2366,13,1684.1635722656251
DO-DUMMY-00268906_0,3795.5,4169.7095,20,374.20947265625
DO-DUMMY-00268914_0,3670.159,3864.1333,19,193.9743007812499
DO-DUMMY-00268920_0,4950.106,4811.7095,30,138.39652734374977
DO-DUMMY-00268930_0,29526.591,15940.151,16,13586.4396328125
